access,アクセス
account,アカウント
acl,権限
address,住所
admin,管理者
administrator,管理者
amount,合計金額
authorized,認可された
bbs,掲示板
body_fat,体脂肪
business,ビジネス
category,カテゴリー
cd,コード
client,クライアント
code,コード
col,列
comment,コメント
company,会社
contact,コンタクト
content,コンテンツ
contents,コンテンツ
contents_length,コンテンツ長
content_length,コンテンツ長
data,データ
date,日付
department,部署
description,説明
destination,発信先
diet,ダイエット
display,表示
document,ドキュメント
email,Eメール
entry,エントリー
enum,列挙
file,ファイル
file_name,ファイル名
first_name,名
flag,フラグ
genre,ジャンル
identifier,識別子
info,情報
ipaddress,IPアドレス
ip_address,IPアドレス
item,アイテム
kana,カナ
kbn,区分
key,キー
kind,種別
lang,言語
large,大
last_name,姓
last_update,最終更新日
length,長さ
level,レベル
log,ログ
master,マスター
media,メディア
member,メンバー
memo,メモ
message,メッセージ
model,モデル
multi,複数
municipality,市町村
name,名前
num,数
no,番号
old,旧
operator,オペレーター
order,順序
organization,組織
original,オリジナル
param,パラメーター
parameter,パラメーター
passwd,パスワード
password,パスワード
path,パス
person,人
phone,電話
prefectural,都道府県
price,金額
product,製品
program,プログラム
property,プロパティー
publisher,発行元
rank,ランク
ranking,ランキング
ref,参照
reference,参照
register,登録
registrant,登録者
registration_date,登録日時
rel,関連
role,ロール
role_name,ロール名
sample,サンプル
service,サービス
session,セッション
sheet,シート
shop,店舗
simple,シンプル
skill,スキル
skip,スキップ
source,発信元
state,状態
sub,サブ
synonym,類義語
test,テスト
thumbnail,サムネイル
time,時間
timestamp,タイムスタンプ
top,トップ
topic,主題
town,町
title,タイトル
type,種別
updated_date,更新日時
updated_id,更新者ID
use,使用
user,ユーザ
value,値
values,値
weight,重さ
work,作業
workspace,ワークスペース
ymd,年月日
zip_cd,郵便番号
zip_code,郵便番号
_lenght,長
_name,名
